Inguinal hernia	HP:0000023
Uterine prolapse	HP:0000139
Sagging uterus	HP:0000139
Abnormally large tongue	HP:0000158
Lingual hypertrophy	HP:0000158
Hypertrophy of the tongue	HP:0000158
Large tongue	HP:0000158
Lingual hyperplasia	HP:0000158
Macroglossia	HP:0000158
Increased size of tongue	HP:0000158
Tongue hypertrophy	HP:0000158
Hyperplasia of the tongue	HP:0000158
Glossal hypertrophy	HP:0000158
Limited jaw opening	HP:0000211
Decrease in jaw opening	HP:0000211
Decrease in jaw mobility	HP:0000211
Pain of muscles of mastication	HP:0000211
Decrease in jaw movement	HP:0000211
Lockjaw	HP:0000211
Limited jaw movement	HP:0000211
Limited jaw mobility	HP:0000211
Limited mandibular mobility	HP:0000211
Trismus	HP:0000211
Limited mandibular opening	HP:0000211
Limited mouth opening	HP:0000211
Decrease in mandibular opening	HP:0000211
Decrease in mandibular mobility	HP:0000211
Decrease in mandibular movement	HP:0000211
Abnormality of the fontanelles or cranial sutures	HP:0000235
Abnormality of the forehead soft spot	HP:0000236
Abnormality of the anterior fontanelle	HP:0000236
Small forehead fontanel	HP:0000237
Small anterior fontanelle	HP:0000237
Small anterior fontanel	HP:0000237
Persistent wide fontanel	HP:0000239
Large fontanel	HP:0000239
Wide bregma sutures	HP:0000239
Large fontanels	HP:0000239
Wide fontanelles	HP:0000239
Large bregma sutures	HP:0000239
Large fontanelles	HP:0000239
Large, late-closing fontanelle	HP:0000239
Enlarged fontanelles	HP:0000239
Large fontanelle	HP:0000239
Abnormality of head size	HP:0000240
Abnormality of cranium size	HP:0000240
Abnormality of skull size	HP:0000240
Bossing of parietal bone	HP:0000242
Parietal bossing	HP:0000242
Biparietal bossing	HP:0000242
Triangular head shape	HP:0000243
Wedge shaped head	HP:0000243
Triangular skull shape	HP:0000243
Wedge shaped cranium	HP:0000243
Wedge shaped skull	HP:0000243
Triangular cranium shape	HP:0000243
Trigonocephaly	HP:0000243
Brachy-turricephaly	HP:0000244
Brachyturricephaly	HP:0000244
High, prominent forehead	HP:0000244
Turribrachycephaly	HP:0000244
Abnormality of the sinuses of the head	HP:0000245
Abnormal paranasal sinus morphology	HP:0000245
Abnormality of the paranasal sinuses	HP:0000245
Abnormality of the sinuses	HP:0000245
Sinus disease	HP:0000246
Sinus infection	HP:0000246
Sinus inflammation	HP:0000246
Sinusitis	HP:0000246
Wide cranium shape	HP:0000248
Wide head shape	HP:0000248
Broad head shape	HP:0000248
Broad cranium shape	HP:0000248
Brachycephaly	HP:0000248
Broad skull shape	HP:0000248
Short and broad skull	HP:0000248
Wide skull shape	HP:0000248
Dense skull cap	HP:0000250
Dense calvaria	HP:0000250
Decreased size of cranium	HP:0000252
Decreased circumference of cranium	HP:0000252
Reduced head circumference	HP:0000252
Decreased size of head	HP:0000252
small calvarium	HP:0000252
Microcephaly	HP:0000252
Small skull	HP:0000252
Abnormally small head	HP:0000252
Decreased size of skull	HP:0000252
Small head circumference	HP:0000252
Abnormally small skull	HP:0000252
Abnormally small cranium	HP:0000252
small cranium	HP:0000252
Small head	HP:0000252
Microcephaly, postnatal, progressive	HP:0000253
Progressively abnormally small skull	HP:0000253
Progressive microcephaly	HP:0000253
Progressively abnormally small cranium	HP:0000253
Microcephaly, progressive	HP:0000253
Acute sinusitis	HP:0000255
Megacephaly	HP:0000256
Increased size of head	HP:0000256
Big cranium	HP:0000256
Big calvaria	HP:0000256
Increased size of cranium	HP:0000256
Macrocephalus	HP:0000256
Macrocrania	HP:0000256
Large cranium	HP:0000256
Large head	HP:0000256
Large head circumference	HP:0000256
Large skull	HP:0000256
Large calvaria	HP:0000256
Increased size of skull	HP:0000256
Macrocephaly	HP:0000256
Big skull	HP:0000256
Big head	HP:0000256
Wide open anterior fontanelle	HP:0000260
Wide anterior fontanel	HP:0000260
Large open anterior fontanelle	HP:0000260
Wide anterior fontanelle	HP:0000260
Large anterior fontanelle	HP:0000260
Large open anterior fontanel	HP:0000260
Wider-than-typical soft spot of skull	HP:0000260
Large anterior fontanel	HP:0000260
Large anterior fontanels	HP:0000260
Tower skull shape	HP:0000262
Turricephaly	HP:0000262
Turricephalus	HP:0000262
Tower cranium shape	HP:0000262
Tall shaped head	HP:0000262
Tall shaped cranium	HP:0000262
Tall shaped skull	HP:0000262
Oxycephaly	HP:0000263
Acrocephaly	HP:0000263
Abnormality of mastoid process of temporal bone	HP:0000264
Abnormal mastoid morphology	HP:0000264
Abnormality of the mastoid	HP:0000264
Mastoiditis	HP:0000265
Abnormality of cranium shape	HP:0000267
Abnormality of head shape	HP:0000267
Abnormality of cranial vault shape	HP:0000267
Malformation of cranial vault shape	HP:0000267
Malformation of head shape	HP:0000267
Asymmetry of head	HP:0000267
Cranial vault asymmetry	HP:0000267
Cranial asymmetry	HP:0000267
Malformation of cranium shape	HP:0000267
Uneven head shape	HP:0000267
Asymmetry of cranium	HP:0000267
Narrow skull shape	HP:0000268
Long, narrow head	HP:0000268
Turridolichocephaly	HP:0000268
Narrow head shape	HP:0000268
Dolichocephaly	HP:0000268
Narrow cranium shape	HP:0000268
Tall and narrow skull	HP:0000268
Large dolichocephalic skull	HP:0000268
Protruding back of the head	HP:0000269
Prominent posterior head	HP:0000269
Protruding occiput	HP:0000269
Prominent back of the skull	HP:0000269
Prominent posterior skull	HP:0000269
Prominent occiput	HP:0000269
Prominent back of the head	HP:0000269
Prominent posterior cranium	HP:0000269
Late-closing fontanelle	HP:0000270
Open sutures	HP:0000270
Late closing fontanelles	HP:0000270
Delayed closure of fontanelles	HP:0000270
Broad late closing cranial sutures	HP:0000270
Delayed fontanelle closure	HP:0000270
Delayed closure of the fontanelles	HP:0000270
Delayed closure of fontanel	HP:0000270
Late closure of fontanelle	HP:0000270
Delayed closure of fontanels	HP:0000270
Delayed fontanel closure	HP:0000270
Delayed cranial suture closure	HP:0000270
Zygomatic flattening	HP:0000272
Flat cheekbone	HP:0000272
Malar flattening	HP:0000272
Hypotrophic malar bone	HP:0000272
Underdevelopment of malar bone	HP:0000272
Malar hypoplasia	HP:0000272
Depressed malar region	HP:0000272
Decreased size of malar bone	HP:0000272
Malformation of the lower jaw bone	HP:0000277
Abnormality of the mandible	HP:0000277
Abnormality of the lower jaw bone	HP:0000277
Deformity of the mandible	HP:0000277
Anomaly of the mandible	HP:0000277
Malformation of the mandible	HP:0000277
Abnormal mandible morphology	HP:0000277
Deformity of the lower jaw bone	HP:0000277
Receding mandible	HP:0000278
Receding chin	HP:0000278
Retrognathia	HP:0000278
Receding lower jaw	HP:0000278
Weak jaw	HP:0000278
Weak chin	HP:0000278
Lower jaw retrognathia	HP:0000278
Retrogenia	HP:0000278
Retrognathia of lower jaw	HP:0000278
Hyperplasia of facial adipose tissue	HP:0000287
Hypertrophy of facial adipose tissue	HP:0000287
Increased facial adipose tissue	HP:0000287
Facial fat hyperplasia	HP:0000287
Increased amount of facial adipose tissue	HP:0000287
Facial fat hypertrophy	HP:0000287
Increased volume of facial adipose tissue	HP:0000287
Increased amount of facial fat	HP:0000287
Abnormality of facial adipose tissue	HP:0000291
Deformity of facial adipose tissue	HP:0000291
Abnormality of facial fat	HP:0000291
Malformation of facial adipose tissue	HP:0000291
Decreased amount of facial adipose tissue	HP:0000292
Decreased volume of facial adipose tissue	HP:0000292
Decreased amount of facial fat	HP:0000292
Loss of facial adipose tissue	HP:0000292
Loss of facial subcutaneous adipose tissue	HP:0000292
Loss of facial fat	HP:0000292
Loss of subcutaneous adipose tissue from face	HP:0000292
Reduced facial muscle tone	HP:0000297
Hypotonic facies	HP:0000297
Facial hypotonia	HP:0000297
Atony of facial musculature	HP:0000297
Decreased facial muscle tone	HP:0000297
Low facial muscle tone	HP:0000297
Facial muscle issue	HP:0000301
Abnormality of facial muscles	HP:0000301
Abnormality of facial musculature	HP:0000301
Lower jaw hyperplasia	HP:0000303
Prominent lower jaw	HP:0000303
Increased projection of lower jaw	HP:0000303
Prominent chin	HP:0000303
Increased projection of mandible	HP:0000303
Mandibular prognathia	HP:0000303
Increased size of mandible	HP:0000303
Hypertrophy of mandible	HP:0000303
Large lower jaw	HP:0000303
Large mandible	HP:0000303
Prominent jaw	HP:0000303
Big mandible	HP:0000303
Enlargement of mandible	HP:0000303
Prognathism	HP:0000303
Mandibular hyperplasia	HP:0000303
Hypertrophy of lower jaw	HP:0000303
Prognathia	HP:0000303
Mandibular prognathism	HP:0000303
Increased size of lower jaw	HP:0000303
Big lower jaw	HP:0000303
Macromandible	HP:0000303
Hyperplasia of lower jaw	HP:0000303
Prominent mandible	HP:0000303
Relative mandibular prognathism	HP:0000303
Enlarged mandible	HP:0000303
Mandibular excess	HP:0000303
Mandible prognathism	HP:0000303
Lower jaw excess	HP:0000303
Mandibular macrognathia	HP:0000303
Small retruded chin	HP:0000308
Microretrognathia	HP:0000308
Retromicrognathia	HP:0000308
Involuntary facial contraction	HP:0000317
Involuntary facial quivering	HP:0000317
Facial myokymia	HP:0000317
Deformity of the maxilla	HP:0000326
Malformation of the upper jaw bones	HP:0000326
Deformity of the upper jaw bones	HP:0000326
Malformation of the maxilla	HP:0000326
Abnormality of the upper jaw bones	HP:0000326
Abnormality of the upper jaw bone	HP:0000326
Abnormality of the maxilla	HP:0000326
Anomaly of the maxilla	HP:0000326
Hypotrophic upper jaw bones	HP:0000327
Deficiency of upper jaw bones	HP:0000327
Small upper jaw	HP:0000327
Decreased size of upper jaw	HP:0000327
Maxillary retrusion	HP:0000327
Small upper jaw bones	HP:0000327
Retrusion of upper jaw bones	HP:0000327
Hypoplastic maxillary bones	HP:0000327
Upper jaw retrusion	HP:0000327
Upper jaw deficiency	HP:0000327
Maxillary retrognathia	HP:0000327
Maxillary hypoplasia	HP:0000327
Hypoplasia of the maxilla	HP:0000327
Retrognathia of upper jaw	HP:0000327
Maxillary micrognathia	HP:0000327
Decreased size of maxilla	HP:0000327
Decreased projection of upper jaw	HP:0000327
Decreased projection of maxilla	HP:0000327
Hypoplasia of upper jaw bones	HP:0000327
Hypotrophic maxilla	HP:0000327
Maxillary deficiency	HP:0000327
Micromaxilla	HP:0000327
