Pneumomediastinum	HP:0025421
Mediastinal widening	HP:0034501
Widened mediastinum	HP:0034501
Narrow mediastinum	HP:0034502
Abnormal mediastinum morphology	HP:0045026
Abnormality of the mediastinum	HP:0045026
Abnormality of the thoracic cavity	HP:0045027
Swollen lymph nodes in centre of chest	HP:0100721
Swollen lymph nodes in center of chest	HP:0100721
Mediastinal lymphadenopathy	HP:0100721
Decreased adiponectin level	None
Abnormal serum DHEA	None
Abnormal circulating dehydroepiandrosterone concentration	None
Abnormal serum dehydroepiandrosterone level	None
Abnormal serum androstenolone level	None
Increased circulating procalcitonin level	None
Increased circulating procalcitonin concentration	None
Paraganglioma of head and neck	None
Paragangliomas, head and neck	None
Pituitary spindle cell oncocytoma	None
Decreased thymic hormone	None
Thymic hormone decreased	None
Decreased plasma testosterone-to-androstenedione ratio	None
Decreased gonadotropin-stimulated testosterone-to-androstenedione ratio	None
Graves disease	None
Morbus Basedow	None
Thyroid papillary carcinoma	None
Papillary thyroid carcinoma	None
Papillary carcinoma of thyroid	None
Increased adiponectin level	None
TSH deficient hypothyroidism	None
Pituitary hypothyroidism	None
Secondary hypothyroidism	None
Thyrotropin deficiency	None
Low thyroid gland function due to abnormal pituitary gland	None
Thyroid stimulating hormone deficiency	None
Small thyroid gland	None
Thyroid hypoplasia	None
Hypoplastic thyroid	None
Neoplasm of the adrenal medulla	None
Medullar adrenal neoplasia	None
Small intestine carcinoid	None
Uninodular goitre	None
Uninodular goiter	None
Neurohypophysis dysplasia	None
Posterior pituitary dysplasia	None
Posterior pituitary dysgenesis	None
Secondary hyperparathyroidism	None
Increased T3/T4 ratio	None
Nonmedullary thyroid carcinoma	None
Non-medullary thyroid carcinoma	None
Thyroid cancer, nonmedullary	None
Adrenocorticotropic hormone excess	None
ACTH excess	None
Increased serum estriol	None
Abnormal response to gonadotropin-releasing hormone stimulation test	None
Abnormal response to GnRH stimulation test	None
Insulin resistant diabetes	None
Insulin-resistant diabetes mellitus	None
Insulin-resistant diabetes	None
Insulin resistant diabetes mellitus	None
Pubertal developmental failure in females	None
Abnormal circulating T4 level	None
Abnormal circulating T4 concentration	None
Abnormal circulating thyroxine level	None
Hypoplasia of the pituitary gland	None
Underdeveloped pituitary gland	None
Anterior pituitary hypoplasia	None
Abnormal circulating erythropoietin concentration	None
Agenesis of pineal gland	None
Thyroid goitre	None
Enlarged thyroid gland in neck	None
Goitre	None
Thyroid goiter	None
Goiter	None
Primary hyperparathyroidism	None
Increased urinary 11-deoxycorticosterone level	None
Transient neonatal diabetes mellitus	None
Pancreatic islet-cell hyperplasia	None
Hyperplastic islets of langerhans	None
Hypertrophic pancreatic islets	None
Pancreatic islet-cell hypertrophy	None
Islets of langerhans hypertrophy	None
Islet of Langerhans hyperplasia	None
Increased plasma AMH	None
Increased antimullerian hormone level	None
Elevated circulating parathyroid hormone level	None
Elevated circulating PTH level	None
Elevated serum parathyroid hormone level	None
Elevated serum parathyroid hormone	None
Increased serum parathyroid hormone	None
Elevated serum pth	None
Pulmonary paraglioma	None
Thyroid microfollicular adenoma	None
Parathyroid adenoma	None
Parathyroid adenomas	None
Adrenal calcification	None
Increased radioactive iodine uptake	None
Abnormal pituitary glycoprotein hormone alpha subunit level	None
Decreased circulating free T3	None
Decreased circulating free triiodothyronine	None
Non-secretory adrenal adenoma	None
Non-secretory adrenocortical adenoma	None
Tertiary hyperparathyroidism	None
Abnormal circulating deoxycorticosterone level	None
Impaired growth-hormone response to insulin stimulation test	None
Male hypogonadism	None
Decreased function of male gonad	None
Carotid paraganglioma	None
