Abnormality of the breast	HP:0000769
Gynecomastia	HP:0000771
Enlarged male breast	HP:0000771
Gynaecomastia	HP:0000771
Hypoplastic nipples	HP:0002557
Nipple hypoplasia	HP:0002557
Small nipples	HP:0002557
Supernumerary nipple	HP:0002558
Supernumerary nipples	HP:0002558
Accessory nipples	HP:0002558
accessory mamillas	HP:0002558
Accessory nipple	HP:0002558
accessory mamilla	HP:0002558
Increased nipple number	HP:0002558
Athelia	HP:0002561
Absent nipple	HP:0002561
Absent nipples	HP:0002561
Low-set nipples	HP:0002562
Breast cancer	HP:0003002
Breast carcinoma	HP:0003002
Invaginated nipples	HP:0003186
Inverted nipples	HP:0003186
Underdeveloped breasts	HP:0003187
Breast hypoplasia	HP:0003187
Abnormal nipple morphology	HP:0004404
Abnormality of the nipple	HP:0004404
Prominent nipples	HP:0004405
Widely-spaced nipples	HP:0006610
Widely spaced nipples	HP:0006610
Wide-spaced nipples	HP:0006610
Wide intermamillary distance	HP:0006610
Multifocal breast carcinoma	HP:0006625
Multifocal breast cancer	HP:0006625
Absent/rudimentary nipples	HP:0006709
Absent/small nipples	HP:0006709
Nipples absent or rudimentary	HP:0006709
Absent/underdeveloped nipples	HP:0006709
Aplasia/Hypoplasia of the nipples	HP:0006709
Aplasia/Hypoplasia of the breasts	HP:0010311
Absent/underdeveloped breasts	HP:0010311
Absent/small breasts	HP:0010311
Asymmetry of the breasts	HP:0010312
Breast hypertrophy	HP:0010313
Hypertrophy of the breasts	HP:0010313
Breasts enlarged	HP:0010313
Breast enlargement	HP:0010313
Large breast	HP:0010313
Macromastia	HP:0010313
Gigantomastia	HP:0010313
Breast fibroadenosis	HP:0010619
Breast fibroadenomas	HP:0010619
Fibroadenoma of the breast	HP:0010619
Breast fibroadenoma	HP:0010619
Fibroadenosis - breast	HP:0010619
Fibroadenosis of breast	HP:0010619
Unilateral breast hypoplasia	HP:0012813
One underdeveloped breast	HP:0012813
Bilateral breast hypoplasia	HP:0012814
Two underdeveloped breasts	HP:0012814
Ductal carcinoma in situ	HP:0030075
Lobular carcinoma in situ	HP:0030076
Abnormal breast morphology	HP:0031093
Abnormal breast physiology	HP:0031094
Lactation incapacity	HP:0031109
Agalactia	HP:0031109
Dry nipple	HP:0031509
Abnormal areolar morphology	HP:0032314
Areolar fullness	HP:0032315
Breast mass	HP:0032408
Breast lump	HP:0032408
Abnormal intermamillary distance	HP:0040157
Short intermamillary distance	HP:0040158
Breast tumour	HP:0100013
Neoplasia of the breast	HP:0100013
Neoplasm of the breast	HP:0100013
Breast tumor	HP:0100013
Tumours of the breast	HP:0100013
Mammary gland aplasia	HP:0100783
Absent breast	HP:0100783
Breast aplasia	HP:0100783
Congenital absence of breast	HP:0100783
Galactorrhea	HP:0100829
Spontaneous milk flow from breast	HP:0100829
Galactorrhoea	HP:0100829
Hypoplastic areolae	HP:0100853
Hypoplastic areola	HP:0100853
Gonadotropin deficiency	None
Pituitary gonadotropin deficiency	None
Thyroid papillary adenoma	None
Secondary adrenal insufficiency	None
Central adrenal insufficiency	None
Decreased circulating progesterone	None
Decreased serum progesterone	None
Abnormal serum estradiol	None
High urinary gonadotropin level	None
Insulinoma	None
Pancreatic insulinoma	None
Small intestine carcinoid	None
Abnormal circulating inhibin level	None
Thyroid hemiagenesis	None
Ectopic anterior pituitary gland	None
Abnormal circulating erythropoietin concentration	None
Adrenal gland agenesis	None
Decreased circulating 18-hydroxycortisone level	None
Increased urinary 11-deoxycortisol level	None
MODY	None
Maturity onset diabetes of the young	None
Maturity-onset diabetes of the young	None
Adrenal gland carinoma	None
Adrenal carcinoma	None
Adrenocortical carcinoma	None
Ectopic parathyroid	None
Increased circulating progesterone	None
Thyrotoxicosis from ectopic thyroid tissue	None
Secondary hyperparathyroidism	None
Hypoplasia of the pituitary gland	None
Underdeveloped pituitary gland	None
Anterior pituitary hypoplasia	None
Abnormal endocrine physiology	None
Thyroid macrofollicular adenoma	None
Hyperpituitarism	None
Abnormality of the parathyroid gland	None
Parathyroid disease	None
Increased circulating corticosterone level	None
Increased LH response to gonadotropin-releasing hormone stimulation test	None
Adrenal gland dysplasia	None
Adrenal gland dysgenesis	None
Dysplastic adrenal glands	None
Pulmonary carcinoid tumour	None
Lung carcinoid tumor	None
Lung carcinoid tumour	None
Pulmonary carcinoid tumor	None
Thyroid atypical adenoma	None
Decreased serum insulin-like growth factor 1	None
Hypothalamic GNRH deficiency	None
