Abnormality of taste sensation	HP:0000223
Decreased taste	HP:0000224
Hypogeusia	HP:0000224
Decreased taste sensation	HP:0000224
Nonsyndromal hydrocephalus	HP:0000238
Too much cerebrospinal fluid in the brain	HP:0000238
Hydrocephaly	HP:0000238
Hydrocephalus	HP:0000238
Decreased size of cranium	HP:0000252
Decreased circumference of cranium	HP:0000252
Reduced head circumference	HP:0000252
Decreased size of head	HP:0000252
small calvarium	HP:0000252
Microcephaly	HP:0000252
Small skull	HP:0000252
Abnormally small head	HP:0000252
Decreased size of skull	HP:0000252
Small head circumference	HP:0000252
Abnormally small skull	HP:0000252
Abnormally small cranium	HP:0000252
small cranium	HP:0000252
Small head	HP:0000252
Microcephaly, postnatal, progressive	HP:0000253
Progressively abnormally small skull	HP:0000253
Progressive microcephaly	HP:0000253
Progressively abnormally small cranium	HP:0000253
Microcephaly, progressive	HP:0000253
Involuntary facial contraction	HP:0000317
Involuntary facial quivering	HP:0000317
Facial myokymia	HP:0000317
Anosmia	HP:0000458
Loss of smell	HP:0000458
Lost smell	HP:0000458
Spasmodic torticollis	HP:0000473
Cervical dystonia	HP:0000473
Loxia	HP:0000473
Wry neck	HP:0000473
Torticollis	HP:0000473
Underdeveloped optic nerves	HP:0000609
Optic nerve hypoplasia	HP:0000609
Hypoplastic optic nerves	HP:0000609
Photodysphoria	HP:0000613
Light hypersensitivity	HP:0000613
Extreme sensitivity of the eyes to light	HP:0000613
Photophobia	HP:0000613
Spontaneous closure of eyelid	HP:0000643
Eyelid twitching	HP:0000643
Blepharospasm	HP:0000643
Involuntary closure of eyelid	HP:0000643
Eyelid spasm	HP:0000643
Defective or absent horizontal voluntary eye movements	HP:0000657
Ocular motor apraxia	HP:0000657
Oculomotor apraxia	HP:0000657
Eyelid apraxia	HP:0000658
Difficulty opening the eyelids	HP:0000658
Neurologic abnormalities	HP:0000707
Abnormality of the nervous system	HP:0000707
Brain and/or spinal cord issue	HP:0000707
Neurological abnormality	HP:0000707
Psychiatric disorders	HP:0000708
Behavioral symptoms	HP:0000708
Behavioral problems	HP:0000708
Behavioral/psychiatric abnormalities	HP:0000708
Behavioral abnormality	HP:0000708
Behavioural disorders	HP:0000708
Behavioral changes	HP:0000708
Behavioural symptoms	HP:0000708
Behavioural changes	HP:0000708
Behavioural disturbances	HP:0000708
Psychiatric disturbances	HP:0000708
Behavioral disorders	HP:0000708
Behavioural abnormality	HP:0000708
Behavioural/Psychiatric abnormality	HP:0000708
Behavioral disturbances	HP:0000708
Behavioural problems	HP:0000708
Psychosis	HP:0000709
Hyperoralia	HP:0000710
Hyperorality	HP:0000710
Restlessness	HP:0000711
Mood swings	HP:0000712
Mood lability	HP:0000712
Mood changes	HP:0000712
Emotional lability	HP:0000712
Mood alterations	HP:0000712
Emotional instability	HP:0000712
Agitation	HP:0000713
Depressivity	HP:0000716
Depressive disorder	HP:0000716
Depression	HP:0000716
Autism	HP:0000717
Aggressive behaviour	HP:0000718
physical aggression	HP:0000718
Aggression	HP:0000718
Aggressiveness	HP:0000718
Aggressive behavior	HP:0000718
Inappropriate behavior	HP:0000719
Inappropriate behaviour	HP:0000719
Lack of spontaneous play	HP:0000721
Obsessive-compulsive disorder	HP:0000722
OCD	HP:0000722
Obsessive-compulsive behavior	HP:0000722
Obsessive-compulsive behaviour	HP:0000722
Obsessive compulsive behavior	HP:0000722
Obsessive compulsive disorder	HP:0000722
Obsessive compulsive behaviour	HP:0000722
Restrictive behavior	HP:0000723
Restricted behavior	HP:0000723
Restricted behaviour	HP:0000723
Restrictive behavior, interests, and activities	HP:0000723
Restrictive behaviour	HP:0000723
Psychotic episodes	HP:0000725
Progressive dementia	HP:0000726
Dementia, progressive	HP:0000726
Dementia	HP:0000726
Frontal lobe dementia	HP:0000727
Impaired ability to form peer relationships	HP:0000728
Autistic behaviours	HP:0000729
Autistic behavior	HP:0000729
Pervasive developmental disorder	HP:0000729
Autism spectrum disorders	HP:0000729
Autistic behaviour	HP:0000729
ASD	HP:0000729
Autistic behaviors	HP:0000729
Autism spectrum disorder	HP:0000729
Inflexible adherence to routines or rituals	HP:0000732
Stereotyped, repetitive behaviour	HP:0000733
Stereotyped behaviour	HP:0000733
Repetitive movements	HP:0000733
Stereotyped behaviours	HP:0000733
Stereotypic behavior	HP:0000733
Stereotypical motor behavior	HP:0000733
Stereotypic behaviour	HP:0000733
Stereotypical motor behaviors	HP:0000733
Stereotypical motor behaviours	HP:0000733
Motor stereotypy	HP:0000733
Stereotypic behaviours	HP:0000733
Repetitive or self-injurious behaviour	HP:0000733
Stereotyped behavior	HP:0000733
Repetitive or self-injurious behavior	HP:0000733
