Pneumomediastinum	HP:0025421
Widened mediastinum	HP:0034501
Mediastinal widening	HP:0034501
Narrow mediastinum	HP:0034502
Abnormality of the mediastinum	HP:0045026
Abnormal mediastinum morphology	HP:0045026
Abnormality of the thoracic cavity	HP:0045027
Mediastinal lymphadenopathy	HP:0100721
Swollen lymph nodes in centre of chest	HP:0100721
Swollen lymph nodes in center of chest	HP:0100721
Peripheral lung neovascularity	None
Abnormal QT interval	None
Myocardial granulomatous infiltrates	None
Abnormal internal carotid artery morphology	None
Abnormality of internal carotid artery	None
Prominent veins on trunk	None
Atrial septal aneurysm	None
Atrial septal dilatation	None
Perinuclear cardiomyocyte vacuolization	None
Trifascicular block	None
Post-angioplasty coronary artery restenosis	None
Pulmonary venoocclusive disease	None
Pulmonary venous occlusion	None
Pulmonary venous stenosis	None
Multifocal splenic abscess	None
Multilocular splenic abscess	None
Abnormal atrioventricular valve physiology	None
Biventricular heart with straddling right sided atrioventricular valve and absent left sided atrioventricular connection	None
Transposition of the great arteries	None
Transposition of great vessels	None
Narrowing of blood vessel below aortic heart valve	None
Subaortic stenosis	None
Subvalvular aortic stenosis	None
Right-to-left shunt	None
Left ventricular non-compaction cardiomyopathy	None
Left ventricular noncompaction cardiomyopathy	None
Pseudoaneurysm	None
S4	None
Presystolic gallop	None
Atrial gallop	None
Fourth heart sound	None
Moyamoya phenomenon	None
Abnormal QRS complex	None
PR interval elevation	None
PTa elevation	None
PR segment elevation	None
Dilatation of an abdominal artery	None
Aneurysm of an abdominal artery	None
Pulmonary venous hypertension	None
Biventricular noncompaction cardiomyopathy	None
Raynaud's phenomenon	None
Raynaud phenomenon	None
Raynaud disease	None
Pulmonary valve defects	None
Anomalous origin of the left anterior descending artery from the pulmonary artery	None
Posterior communicating artery aneurysm	None
Abnormal descending aorta morphology	None
Abnormal arterial physiology	None
Abnormal cardiomyocyte morphology	None
Abnormal cardiac muscle cell morphology	None
Unicuspid aortic valve	None
Univentricular heart with absent left sided atrioventricular connection	None
Univentricular heart with absent left sided atrioventricular connexion	None
Renal artery atherosclerosis	None
Retinal haemorrhages	None
Retinal hemorrhage	None
Retinal hemorrhages	None
Retinal haemorrhage	None
Retinal bleeding	None
Pink eye	None
Conjunctivitis, recurrent	None
Conjunctivitis	None
Abnormal pulmonary vein physiology	None
Systemic hypertension	None
High blood pressure	None
Hypertension	None
Arterial hypertension	None
Congestive heart failure	None
Cardiac failures	None
Cardiac insufficiency	None
Chronic heart failure	None
Cardiac failure	None
CHF	None
Heart failure	None
Heart left ventricle hypoplasia	None
Hypoplastic left heart	None
Left ventricular hypoplasia	None
Underdeveloped left heart	None
Polymorphic and polytopic ventricular extrasystoles	None
Cardiovascular shock	None
Cardiogenic shock	None
Intimal thickening in the coronary arteries	None
Increased U wave amplitude	None
Prominent U wave	None
Abnormal pulse	None
Grade II fetal intracranial hemorrhage	None
Fetal intraventricular hemorrhage without ventriculomegaly	None
Decreased QRS voltage	None
P mitrale	None
Cardiomyocyte degeneration	None
Abnormal heart rate	None
Irregular heartbeat	None
Cardiac arrhythmia	None
Arrhythmias	None
Heart rhythm disorders	None
Irregular heart beat	None
Cardiac rhythm disturbances	None
Arrhythmia	None
Cardiac arrhythmias	None
Atrioventricular reentrant tachycardia	None
AV nodal reentry tachycardia	None
Angiokeratoma of Mibelli	None
Orthodromic atrioventricular reentrant tachycardia	None
Orthodromic AVRT	None
Abnormal ventricular filling	None
Lumbar/sacral hemangioma	None
Lumbosacral hemangioma	None
Anomalous branches of internal carotid artery	None
Criss-cross atrioventricular valves	None
Fixed splitting of the second heart sound	None
Fixed splitting of S2	None
Bundle branch block	None
Bundle-branch block	None
Macular microaneurysm/hemorrhage	None
Aneurysm of the muscular ventricular septum	None
Muscular ventricular septal aneurysm	None
Tetralogy of Fallot with pulmonary atresia and major aortopulmonary collateral arteries	None
Elevated systolic BP	None
Elevated systolic blood pressure	None
Petechiae	None
Fetal extra-axial hemorrhage	None
Atheromatosis	None
Type IV atherosclerotic lesion	None
Pleural lymphangiectasia	None
Common brachiocephalic trunk	None
Bovine arch	None
Ovine arch	None
Common origin of the right brachiocephalic artery and left common carotid artery	None
Iliac arterial calcification	None
DORV with subpulmonary VSD and pulmonary stenosis	None
Double outlet right ventricle with subpulmonary ventricular septal defect and pulmonary stenosis	None
Amyloid cardiomyopathy	None
Cardiac amyloidosis	None
Type V atherosclerotic lesion	None
Hemangioma, facial, plaque-like	None
Plaque-like facial hemangioma	None
Pulmonary artery stenosis	None
Narrowing of lung artery	None
Bidirectional shunt	None
Early progressive calcific cardiac valvular disease	None
Cerebral cavernous malformation	None
Diffuse telangiectasia	None
Diffuse telangiectases	None
Telangiectases, random body distribution	None
Decreased cardiac index	None
Decreased cardiac output	None
Migratory erythematous plaque	None
Perioral erythema	None
Spleen hemangioma	None
Splenic hemangioma	None
Duodenal arteriovenous malformation	None
Medial degeneration	None
Echogenic intracardiac focus	None
Ventricular septal hypertrophy	None
Thickened interventricular septum	None
Fatty infiltration of cardiac ventricle	None
Fatty replacement of ventricular myocardial tissue	None
Intramyocardial fat infiltration	None
Abnormal superior vena cava morphology	None
Subretinal heme	None
Subretinal haemorrhage	None
Subretinal hemorrhage	None
Common carotid artery dissection	None
Single raphe bicuspid aortic valve	None
Angiokeratoma	None
Angiokeratomas	None
Abnormal direction of ventricular apex	None
Interstitial cardiac fibrosis	None
Infra-aortic superior vena cava	None
Medial calcification of small arteries	None
Thoracic cystic lymphangioma	None
Intrathoracic cystic hygroma	None
Mediastinal cystic lymphangioma	None
Aorto-ventricular tunnel	None
Symmetric, concentric, hypertrophic cardiomyopathy	None
Concentric hypertrophic cardiomyopathy	None
Abnormal celiac artery morphology	None
Abnormality of the celiac artery	None
Abnormality of the coeliac artery	None
Abnormal coeliac artery morphology	None
Posterior retinal neovascularization	None
Posterior retinal neovascularisation	None
Neovascularization of peripheral and posterior retina	None
Cardiac rhabdomyoma	None
Lipemia retinalis	None
Depleted blood volume	None
Hypovolemia	None
Solitary angiokeratoma	None
Aortic aneurysm	None
Aortic dilatation	None
Bulge in wall of large artery that carries blood away from heart	None
DORV with non-committed VSD and pulmonary stenosis	None
Double outlet right ventricle with non-committed ventricular septal defect and pulmonary stenosis	None
Coronary artery calcification	None
Thoracoabdominal ectopia cordis	None
Atrial premature complex	None
Premature supraventricular beats	None
PACs	None
Atrial ectopic beats	None
Premature atrial contractions	None
Ectopic supraventricular rhythms	None
Branch retinal vein occlusion	None
Abnormal left ventricular outflow tract morphology	None
Abnormality of the left ventricular outflow tract	None
Increased cardiac index	None
Blood vessel tumor	None
Vascular neoplasm	None
Blood vessel tumour	None
PR segment depression	None
PR interval depression	None
PTa depression	None
Reduced ejection fraction	None
Reduced left ventricular ejection fraction	None
Anomalous origin of the left common carotid artery from the main pulmonary artery	None
Right ventricular dilatation	None
Dilated heart right ventricle	None
Prolonged PR interval	None
Lengthened PR interval on EKG	None
Electrocardiographic long PR interval	None
Oncocytic cardiomyopathy	None
Arachnocytosis of the myocardium	None
Infantile cardiomyopathy with histiocytoid changes	None
Focal lipid cardiomyopathy	None
Infantile xanthomatous cardiomyopathy	None
Isolated cardiac lipidosis	None
Myocardial or conduction system hamartoma	None
Foamy myocardial transformation	None
Histiocytoid cardiomyopathy	None
Carotid artery calcification	None
L-looping of the right ventricle	None
T-wave inversion in the right precordial leads	None
Mildly reduced left ventricular ejection fraction	None
Mildly reduced ejection fraction	None
Abnormality of lung veins	None
Abnormality of the pulmonary veins	None
Increased BP	None
Increased blood pressure	None
Cerebrovascular accidents	None
Cerebrovascular accident	None
Stroke	None
Cerebral vascular events	None
Rightward direction of ventricular apex	None
Cardiac teratoma	None
Hemiretinal vein occlusion	None
Indeterminate ventricular axis	None
Inappropriate sinus tachycardia	None
Hypotension	None
Low blood pressure	None
Arterial hypotension	None
Monomorphic ventricular tachycardia	None
Hypoplastic nasopharyngeal adenoids	None
Underdeveloped nasopharyngeal adenoids	None
Lymphatic vessel tumor	None
Lymphatic vessel tumour	None
Lymphatic vessel neoplasm	None
Arterial tortuosity	None
Hemopericardium	None
Muscular subvalvular aortic stenosis	None
Muscular subaortic stenosis	None
Abnormality of the atrial septum	None
Abnormal interatrial septum morphology	None
Abnormal atrial septum morphology	None
Recurrent rectal bleeding	None
Hematochezia	None
Rectal bleeding	None
Lower extremity peripheral artery calcification	None
Lower extremity peripheral arterial calcification	None
Fusiform abdominal aortic aneurysm	None
Partial anomalous pulmonary venous connection	None
Partial anomalous pulmonary venous return	None
Cor triatriatum	None
Triatrial heart	None
Prepartum haemorrhage	None
Antepartum hemorrhage	None
Prepartum hemorrhage	None
Antepartum haemorrhage	None
Ectopia cordis	None
Paroxysmal tachycardia	None
Dermographism	None
Skin writing	None
Dermatographic urticaria	None
Dermatographism	None
Perivascular fibrosis	None
Abnormally shaped heart	None
Heart defect	None
Abnormality of the heart	None
Cardiac anomaly	None
Cardiac anomalies	None
Congenital heart defects	None
Abnormality of cardiac morphology	None
Congenital heart defect	None
Abnormal heart morphology	None
Cardiac abnormality	None
Coarctation of the descending aortic arch	None
Lusorian artery	None
Aberrant right subclavian artery	None
Arteria lusoria	None
Supraventricular tachycardia with a manifest accessory pathway on the left free wall	None
Non-pruritic urticaria	None
Non-itchy hives	None
Premature arteriosclerosis	None
Premature hardening of arteries	None
Precapillary pulmonary hypertension	None
Pre-capillary pulmonary hypertension	None
Apical hypertrabeculation of the left ventricle	None
Persistent fetal circulation	None
Persistent foetal circulation	None
Abnormal coronary sinus morphology	None
Abnormality of the coronary sinus	None
Increased heart rate variability	None
Complete heart block	None
Third-degree heart block	None
Third degree atrioventricular block	None
Dilatation of the ventricular cavity	None
Ventricular aneurysm	None
Rectal arteriovenous malformation	None
Left atrial enlargement	None
Enlarged heart left atrium	None
Aortic arch calcification	None
Preterm intraventricular hemorrhage	None
Preterm intraventricular haemorrhage	None
Distributive shock	None
Abnormal aortic arch morphology	None
Abnormality of the aortic arch	None
Pancreatic lymphangiectasis	None
Grade II preterm intraventricular hemorrhage	None
Grade II preterm intraventricular haemorrhage	None
Abnormal right ventricular function	None
Abnormality of ophthalmic artery	None
Ophthalmic artery anomaly	None
Congenital malformation of the great arteries	None
Atrial situs inversus	None
Superior vena cava obstruction	None
Obstruction of the superior vena cava	None
Superior vena cava syndrome	None
Hepatic foam cells	None
Abnormal lymph node histology	None
Abnormality of the lymph nodes	None
Frontal venous angioma	None
Interrupted aortic arch type A	None
Increased pulmonary vascular resistance	None
Vertebral artery aneurysm	None
Central retinal vein occlusion	None
Myocarditis	None
Inflammation of heart muscle	None
Absent pericardium	None
Total absence of the pericardium	None
Congenital absence of the pericardium	None
Telangiectasia, facial	None
Facial telangiectatic vessels	None
Facial telangiectasia	None
Abnormality of lung artery	None
Abnormality of the pulmonary artery	None
Abnormal morphology of left ventricular trabeculae	None
Left ventricular wall hypertrophy	None
Left ventricular hypertrophy	None
Heart left ventricle hypertrophy	None
Enlarged mesenteric lymph node	None
Absent right sided atrioventricular connection	None
Absent right sided atrioventricular connexion	None
Urticaria	None
Hives	None
CNS foam cells	None
Uhl's anomaly	None
Tricuspid atresia	None
Tricuspid valve atresia	None
Prominent superficial vasculature	None
Prominent superficial blood vessels	None
Redundant septum primum flap	None
Fetal atrial septal dilatation	None
Foramen ovale aneurysm	None
Endomyocardial fibrosis	None
Endocardial fibrosis	None
Bladder incontinence	None
Urinary incontinence	None
Loss of bladder control	None
Sudden cardiac death	None
Premature sudden cardiac death	None
Sudden death	None
Pain in stomach	None
Abdominal pain	None
Stomach pain	None
Gastro pain	None
Gastrointestinal pain	None
Upset stomach	None
Abdominal discomfort	None
Intermittent abdominal pain	None
Episodic abdominal pain	None
Loss of bowel control	None
Bowel incontinence	None
Faecal incontinence	None
Fecal incontinence	None
Anal incontinence	None
Bone pain	None
Arthralgias	None
Arthritic pain	None
Arthralgia	None
Joint pain	None
Joint pains	None
Myalgia	None
Myalgias	None
Muscle ache	None
Muscle pain	None
Back pain	None
Low back pain	None
Lower back pain	None
Decreased ability to exercise	None
Exercise intolerance	None
Inability to exercise	None
Poor exercise tolerance	None
Low exercise endurance	None
Exercise-induced muscle pain	None
Muscle pain with exercise	None
Exercise-induced myalgia	None
Muscle pain on exercise	None
Muscle pain, exercise-induced	None
Joint pain/Joint inflammation	None
Arthralgia/arthritis	None
Costochondral junction pain	None
Costochondral pain	None
Limb pain	None
Pain in extremities	None
Stress urinary incontinence	None
Abdominal colic	None
Sciatica	None
Occipital neuralgia	None
Fatigue	None
Tiredness	None
Tired	None
Episodic fatigue	None
Chronic extreme exhaustion	None
Chronic fatigue	None
Upper limb pain	None
Lower limb pain	None
Leg pain	None
Pain	None
Long-lasting pain	None
Chronic pain	None
Allodynia	None
Sneeze	None
Paroxysmal sneezing	None
Constitutional symptom	None
Chills	None
Shuddering	None
Shivering	None
Rigours	None
Rigors	None
Foot pain	None
Weakness	None
Lack of energy and strength	None
Asthenia	None
Prostration	None
Scrotal pain	None
Flank pain	None
Kidney pain	None
Nocturnal hyperhidrosis	None
Night sweats	None
Otalgia	None
Ear pain	None
Pain in the ear	None
Painful tongue	None
Tongue pain	None
Neck pain	None
Shoulder pain	None
Elbow pain	None
Wrist pain	None
Finger pain	None
Hip pain	None
Knee pain	None
Pain under knee cap	None
Ankle pain	None
Toe pain	None
Eye movement-induced pain	None
Vulvar pain	None
Vulvodynia	None
Postexertional symptom exacerbation	None
Postexertional malaise	None
Exercise-induced malaise	None
Impairment of activities of daily living	None
Impaired ability to bathe oneself	None
Impaired ability to dress oneself	None
Impaired toileting ability	None
Impaired transferring ability	None
Impaired feeding ability	None
Impaired continence	None
Hot flashes	None
Tightness of chest	None
Tightness in chest	None
Chest tightness	None
Chest distress	None
Groin pain	None
Gastrocnemius myalgia	None
Calf myalgia	None
Calf muscle pain	None
Wilson sign	None
Precordial pain	None
Foetor hepaticus	None
Fetor hepaticus	None
Erythromelalgia	None
Episodic pain	None
Breakthrough pain	None
Paroxysmal rectal pain	None
Abdominal cramps	None
Bladder pain	None
Tendon pain	None
Abdominal rigidity	None
Rigid abdomen	None
Abdominal guarding	None
Body ache	None
Throat discomfort	None
Pharyngalgia	None
Pharyngodynia	None
Sore throat	None
Throat pain	None
Cognitive fatigue	None
Central fatigue	None
Sudden unexpected death in epilepsy	None
SUDEP	None
Neuralgia	None
Acute abdomen	None
Acute abdominal pain	None
Diminished health-related quality of life	None
Decline in physical functional health	None
Diminished physical health	None
Diminished physical functioning	None
Diminished mental health	None
Mental impairment	None
Reduced mental health	None
Frailty	None
Occupational disability	None
Intrascapular pain	None
Pain between shoulder blades	None
Pleuritic chest pain	None
Malaise	None
Pain in testicles	None
Testicular pain	None
Cool skin temperature	None
Cool skin	None
Cold skin temperature	None
Coldness	None
Coolness to palpation	None
Mastalgia	None
Breast pain	None
Painful breast	None
Pain in the pelvis	None
Pelvic pain	None
Stool soiling	None
Stool holding	None
Encopresis	None
Jaw pain	None
Hand pain	None
Pain in head and neck region	None
Recurrent synchronous diaphragmatic flutter	None
Recurrent hiccup	None
Hiccups	None
Recurrent singultus	None
Hiccup	None
Recurrent hiccough	None
Trigeminal neuralgia	None
Tic douloureux	None
Thoracic pain	None
Chest pain	None
Chest discomfort	None
Gangrene	None
Death of body tissue due to lack of blood flow or infection	None
Bad breath	None
Foetor ex ore	None
Halitosis	None
Mandibular pain	None
Lower jaw pain	None
Ocular pain	None
Eye pain	None
Epigastrium pain	None
Epigastric pain	None
Fish odour	None
Fish odor	None
Fishy body odor	None
Fishy odour	None
Fishy odor	None
Fishy body odour	None
Musty odor	None
Musty odour	None
Vaginal fish odor	None
Vaginal fish odour	None
Dyspepsia	None
Indigestion	None
Osmidrosis	None
BO	None
Body odour	None
Body odor	None
Bromhidrosis	None
Bromidrosis	None
Anal pain	None
Rectal pain	None
Abnormal fecal pH	None
Abnormal faecal pH	None
Aganglionic megacolon	None
Congenital megacolon	None
Hirschsprung megacolon	None
Enlarged colon lacking nerve cells	None
Megacolon	None
Hirschsprung disease	None
Hyperperistalsis	None
Stomach churning	None
Thoracoabdominal wall defect	None
Thoracoabdominal schisis	None
Abnormality of the hepatic vasculature	None
Abnormality of the liver vasculature	None
Abnormality of liver blood vessels	None
Abdominal muscular hypoplasia	None
Hypoplasia of the abdominal wall musculature	None
Ileoileal intussusception	None
Abnormality of the gallbladder	None
