Abnormality of the breast	HP:0000769
Gynecomastia	HP:0000771
Enlarged male breast	HP:0000771
Gynaecomastia	HP:0000771
Nipple hypoplasia	HP:0002557
Small nipples	HP:0002557
Hypoplastic nipples	HP:0002557
Accessory nipples	HP:0002558
accessory mamilla	HP:0002558
Supernumerary nipples	HP:0002558
accessory mamillas	HP:0002558
Supernumerary nipple	HP:0002558
Increased nipple number	HP:0002558
Accessory nipple	HP:0002558
Athelia	HP:0002561
Absent nipples	HP:0002561
Absent nipple	HP:0002561
Low-set nipples	HP:0002562
Breast carcinoma	HP:0003002
Breast cancer	HP:0003002
Inverted nipples	HP:0003186
Invaginated nipples	HP:0003186
Breast hypoplasia	HP:0003187
Underdeveloped breasts	HP:0003187
Abnormal nipple morphology	HP:0004404
Abnormality of the nipple	HP:0004404
Prominent nipples	HP:0004405
Wide intermamillary distance	HP:0006610
Widely-spaced nipples	HP:0006610
Widely spaced nipples	HP:0006610
Wide-spaced nipples	HP:0006610
Multifocal breast cancer	HP:0006625
Multifocal breast carcinoma	HP:0006625
Absent/rudimentary nipples	HP:0006709
Nipples absent or rudimentary	HP:0006709
Absent/small nipples	HP:0006709
Absent/underdeveloped nipples	HP:0006709
Aplasia/Hypoplasia of the nipples	HP:0006709
Absent/underdeveloped breasts	HP:0010311
Absent/small breasts	HP:0010311
Aplasia/Hypoplasia of the breasts	HP:0010311
Asymmetry of the breasts	HP:0010312
Hypertrophy of the breasts	HP:0010313
Gigantomastia	HP:0010313
Breasts enlarged	HP:0010313
Breast hypertrophy	HP:0010313
Large breast	HP:0010313
Macromastia	HP:0010313
Breast enlargement	HP:0010313
Fibroadenosis - breast	HP:0010619
Fibroadenoma of the breast	HP:0010619
Fibroadenosis of breast	HP:0010619
Breast fibroadenosis	HP:0010619
Breast fibroadenomas	HP:0010619
Breast fibroadenoma	HP:0010619
One underdeveloped breast	HP:0012813
Unilateral breast hypoplasia	HP:0012813
Bilateral breast hypoplasia	HP:0012814
Two underdeveloped breasts	HP:0012814
Ductal carcinoma in situ	HP:0030075
Lobular carcinoma in situ	HP:0030076
Abnormal breast morphology	HP:0031093
Abnormal breast physiology	HP:0031094
Lactation incapacity	HP:0031109
Agalactia	HP:0031109
Dry nipple	HP:0031509
Abnormal areolar morphology	HP:0032314
Areolar fullness	HP:0032315
Breast lump	HP:0032408
Breast mass	HP:0032408
Abnormal intermamillary distance	HP:0040157
Short intermamillary distance	HP:0040158
Breast tumor	HP:0100013
Neoplasm of the breast	HP:0100013
Neoplasia of the breast	HP:0100013
Breast tumour	HP:0100013
Tumours of the breast	HP:0100013
Mammary gland aplasia	HP:0100783
Breast aplasia	HP:0100783
Absent breast	HP:0100783
Congenital absence of breast	HP:0100783
Galactorrhea	HP:0100829
Galactorrhoea	HP:0100829
Spontaneous milk flow from breast	HP:0100829
Hypoplastic areolae	HP:0100853
Hypoplastic areola	HP:0100853
Splenic abscess	None
Abnormal tricuspid chordae tendinae morphology	None
Anomalous branches of internal carotid artery	None
T-wave alternans	None
peripheral pulmonary stenosis	None
Peripheral pulmonary artery stenosis	None
Peripheral pulmonic stenosis	None
Narrowing of peripheral lung artery	None
Tetralogy of Fallot with pulmonary stenosis	None
Livedo reticularis	None
Atheromatosis	None
Type IV atherosclerotic lesion	None
Typical atrial flutter	None
Positive regitine blocking test	None
Lusorian artery	None
Aberrant right subclavian artery	None
Arteria lusoria	None
Splenic cyst	None
Cyst on spleen	None
Overriding atrioventricular valve	None
Aneurysm of the muscular ventricular septum	None
Muscular ventricular septal aneurysm	None
Elevated right ventricular systolic pressure	None
Hypotension	None
Low blood pressure	None
Arterial hypotension	None
Dysplastic pulmonary valve	None
Dysplasia of pulmonary valve	None
Pulmonary valve dysplasia	None
Retinal arteriolar constriction	None
Retinal arteriolar narrowing	None
Narrow retinal arterioles	None
Constricted retinal arterioles	None
Absent right sided atrioventricular connection	None
Absent right sided atrioventricular connexion	None
Tortuous carotid arteries	None
Carotid artery tortuosity	None
Decreased cardiac index	None
Middiastolic murmur	None
Supravalvular mitral ring	None
Supramitral ring	None
Membranous supravalvular mitral stenosis	None
Left-to-right shunt	None
Vascular skin abnormality	None
Vascular abnormalities restricted to skin	None
Skin vascular malformation	None
Paroxysmal tachycardia	None
Systolic heart murmur	None
Abnormal interventricular septum morphology	None
Abnormality of the ventricular septum	None
Ventricular septum abnormality	None
Abnormal ventricular septum morphology	None
Plaque build-up in arteries supplying blood to heart	None
