Abnormality of body height	HP:0000002
Accelerated linear growth	HP:0000098
Tall stature	HP:0000098
Increased linear growth	HP:0000098
Increased body height	HP:0000098
Delayed pubertal growth	HP:0000823
Delayed puberty	HP:0000823
Delayed pubertal development	HP:0000823
Pubertal delay	HP:0000823
Pituitary dwarfism	HP:0000839
Growth issue	HP:0001507
Growth abnormality	HP:0001507
Abnormal growth	HP:0001507
Undergrowth	HP:0001508
Faltering weight	HP:0001508
Failure to thrive	HP:0001508
Postnatal failure to thrive	HP:0001508
Weight faltering	HP:0001508
Poor weight gain	HP:0001508
Delayed growth	HP:0001510
Growth retardation	HP:0001510
Poor growth	HP:0001510
Growth failure	HP:0001510
Growth deficiency	HP:0001510
Very poor growth	HP:0001510
Growth delay	HP:0001510
Retarded growth	HP:0001510
Intrauterine growth retardation	HP:0001511
In utero growth retardation	HP:0001511
Prenatal-onset growth retardation	HP:0001511
Small for gestational age infant	HP:0001511
Prenatal growth failure	HP:0001511
Intrauterine growth retardation, IUGR	HP:0001511
Prenatal growth retardation	HP:0001511
Intrauterine retardation	HP:0001511
Intrauterine growth restriction	HP:0001511
Intrauterine growth failure	HP:0001511
Prenatal growth deficiency	HP:0001511
IUGR	HP:0001511
Prenatal onset growth retardation	HP:0001511
Having too much body fat	HP:0001513
Obesity	HP:0001513
Low birth weight	HP:0001518
Birth weight less than 10th percentile	HP:0001518
Small for gestational age	HP:0001518
Dolichostenomelia	HP:0001519
Marfanoid habitus	HP:0001519
Marfanoid body habitus	HP:0001519
Disproportionate tall stature	HP:0001519
Reduced upper-lower segment ratio	HP:0001519
Fetal macrosomia	HP:0001520
Birth weight > 90th percentile	HP:0001520
Birthweight > 90th percentile	HP:0001520
Large for gestational age	HP:0001520
Macrosomia, neonatal	HP:0001520
Macrosomia	HP:0001520
Foetal macrosomia	HP:0001520
Severe faltering weight	HP:0001525
Marked failure to thrive	HP:0001525
Severe failure to thrive	HP:0001525
Severe postnatal failure to thrive	HP:0001525
Severe weight faltering	HP:0001525
Asymmetric overgrowth	HP:0001528
Asymmetric limb hypertrophy	HP:0001528
Hemihypertrophy	HP:0001528
Mild postnatal growth retardation	HP:0001530
Mild growth deficiency	HP:0001530
Postnatal onset of mild growth retardation	HP:0001530
Faltering weight in infancy	HP:0001531
Failure to thrive in first year of life	HP:0001531
Failure to thrive in infancy	HP:0001531
Weight faltering in infancy	HP:0001531
Slender build	HP:0001533
Thin body habitus	HP:0001533
Thin build	HP:0001533
Asthenic habitus	HP:0001533
General overgrowth	HP:0001548
Overgrowth	HP:0001548
Generalised overgrowth	HP:0001548
Generalized overgrowth	HP:0001548
Weight loss	HP:0001824
Loss of weight	HP:0001824
Centripetal obesity	HP:0001956
Truncal obesity	HP:0001956
Situs inversus visceralis	HP:0003363
Situs inversus viscerum	HP:0003363
Abdominal situs inversus	HP:0003363
Disproportionate short stature	HP:0003498
Short stature, disproportionate	HP:0003498
Short stature, severe disproportionate	HP:0003498
Mild short stature	HP:0003502
Relative short stature	HP:0003502
short stature, mild	HP:0003502
Proportionate short stature	HP:0003508
Proportionate small stature	HP:0003508
Short stature, proportionate	HP:0003508
Severe short stature	HP:0003510
Proportionate dwarfism	HP:0003510
Dwarfism	HP:0003510
Short stature, severe	HP:0003510
Short stature, extreme	HP:0003510
Birth length greater than 97th percentile	HP:0003517
Fetal overgrowth	HP:0003517
Foetal overgrowth	HP:0003517
Disproportionate short-trunked dwarfism	HP:0003521
Short-trunked dwarfism	HP:0003521
Disproportionate short-trunked short stature	HP:0003521
Disproportionate short-trunk short stature	HP:0003521
Birth length <3rd percentile	HP:0003561
Birth length less than 3rd percentile	HP:0003561
Birth length < 3rd percentile	HP:0003561
Eunuchoid habitus	HP:0003782
Decreased body height	HP:0004322
Height less than 3rd percentile	HP:0004322
Small stature	HP:0004322
Short stature	HP:0004322
Stature below 3rd percentile	HP:0004322
Abnormality of body weight	HP:0004323
Abnormality of habitus	HP:0004323
Increased body weight	HP:0004324
Weight gain	HP:0004324
Decreased weight	HP:0004325
Low weight	HP:0004325
Decreased body weight	HP:0004325
Weight less than 3rd percentile	HP:0004325
Low body weight	HP:0004325
Wasting syndrome	HP:0004326
Cachexia	HP:0004326
Rhizomelic arm shortening	HP:0004991
Mesomelic/rhizomelic limb shortening	HP:0005026
Rhizo-meso-acromelic limb shortening	HP:0005069
Short stature, disproportionate mesomelic	HP:0008845
Mesomelic dwarfism	HP:0008845
Mesomelic short stature	HP:0008845
Short stature, mesomelic	HP:0008845
Dwarfism, short limb mesomelic	HP:0008845
Severe prenatal growth deficiency	HP:0008846
Intrauterine growth retardation, severe	HP:0008846
Severe intrauterine growth retardation	HP:0008846
Short stature, moderate	HP:0008848
Moderately short stature	HP:0008848
Moderate short stature	HP:0008848
Severe postnatal growth deficiency	HP:0008850
Severe growth delay in children	HP:0008850
Marked growth retardation	HP:0008850
Severe postnatal growth retardation	HP:0008850
Severe postnatal growth failure	HP:0008850
Moderate postnatal growth retardation	HP:0008855
Moderate growth delay in children	HP:0008855
Neonatal short-trunk short stature	HP:0008857
Short-trunk dwarfism identifiable at birth	HP:0008857
Faltering weight secondary to recurrent infections	HP:0008866
Failure to thrive secondary to recurrent infections	HP:0008866
Weight faltering secondary to recurrent infections	HP:0008866
Short stature, disproportionate short-limb	HP:0008873
Micromelic dwarfism	HP:0008873
Short limb dwarfism, disproportionate	HP:0008873
Short stature, disproportionate short limb	HP:0008873
Short-limb dwarfism	HP:0008873
Brachymelic dwarfism	HP:0008873
Short limb dwarfism	HP:0008873
Short-limbed dwarfism	HP:0008873
Dwarfism, short-limbed	HP:0008873
Disproportionate short limb dwarfism	HP:0008873
Disproportionate short-limb short stature	HP:0008873
Mild intrauterine growth retardation	HP:0008883
Mild prenatal growth deficiency	HP:0008883
Severe short-limb dwarfism	HP:0008890
Postnatal growth retardation	HP:0008897
Growth delay as children	HP:0008897
Postnatal growth deceleration	HP:0008897
Postnatal growth deficiency	HP:0008897
Postnatal growth failure	HP:0008897
Growth retardation as children	HP:0008897
Rhizomelic short stature	HP:0008905
Rhizomelia	HP:0008905
Rhizomelic dwarfism	HP:0008905
Disproportionately short upper portion of limb	HP:0008905
Symmetrical rhizomelic limb shortening	HP:0008905
Rhizomelic shortening	HP:0008905
Rhizomelic limb shortening	HP:0008905
Short stature, rhizomelic	HP:0008905
Rhizomelic short limbs	HP:0008905
Lethal short-limbed dwarfism	HP:0008909
Lethal micromelic dwarfism	HP:0008909
Lethal short-limbed short stature	HP:0008909
Childhood-onset truncal obesity	HP:0008915
Truncal obesity apparent in childhood	HP:0008915
Dwarfism, neonatal short-limbed	HP:0008921
Neonatal short-limb short stature	HP:0008921
Neonatal short-limbed dwarfism	HP:0008921
Short-limbed dwarfism identifiable at birth	HP:0008921
Short limb dwarfism recognisable at birth	HP:0008921
Short-limb dwarfism identifiable at birth	HP:0008921
Short limb dwarfism recognizable at birth	HP:0008921
Short-limb dwarfism identifiable neonatally	HP:0008921
Short-trunk dwarfism identifiable during childhood	HP:0008922
Childhood-onset short-trunk short stature	HP:0008922
Disproportionate short-trunk short stature, identifiable in childhood	HP:0008922
Asymmetric short stature	HP:0008929
Lethal short-trunk dwarfism	HP:0011404
Lethal short-trunk short stature	HP:0011404
Childhood onset short-limb short stature	HP:0011405
Short-limb dwarfism identifiable during childhood	HP:0011405
Short-trunk dwarfism, identifiable in infancy	HP:0011406
Infancy onset short-trunk short stature	HP:0011406
Proportionate tall stature	HP:0011407
Moderate intrauterine growth retardation	HP:0011408
Right atrial isomerism	HP:0011536
Left atrial isomerism	HP:0011537
Abnormality of abdominal situs	HP:0011620
Rhizomelic leg shortening	HP:0012106
Delayed start of first period	HP:0012569
Delayed menarche	HP:0012569
Abdominal obesity	HP:0012743
Central obesity	HP:0012743
Abnormal upper to lower segment ratio	HP:0012772
Reduced upper to lower segment ratio	HP:0012773
Increased upper to lower segment ratio	HP:0012774
Delayed adrenarche	HP:0025453
Class I obesity	HP:0025499
Obesity grade 1	HP:0025499
Obesity grade 2	HP:0025500
Class II obesity	HP:0025500
Obesity grade 3	HP:0025501
Class III obesity	HP:0025501
Overweight	HP:0025502
Delayed thelarche	HP:0025515
Increased body fat percentage	HP:0025521
Heterotaxia	HP:0030853
Heterotaxy	HP:0030853
Absent pubertal growth spurt	HP:0031087
Absent adolescent growth spurt	HP:0031087
Increased body mass index	HP:0031418
Increased BMI	HP:0031418
Bronchial isomerism	HP:0031564
Abdominal situs ambiguus	HP:0031565
Abnormal waist to hip ratio	HP:0031818
Increased waist to hip ratio	HP:0031819
Increased WHR	HP:0031819
Increased waist-hip ratio	HP:0031819
Increased waist-to-hip ratio	HP:0031819
Decreased waist-hip ratio	HP:0031820
Decreased WHR	HP:0031820
Decreased waist to hip ratio	HP:0031820
Decreased waist-to-hip ratio	HP:0031820
Isomerism	HP:0031853
Left Isomerism	HP:0031854
Left-sided isomerism	HP:0031854
Right-sided isomerism	HP:0031855
Right isomerism	HP:0031855
Abnormal skinfold thickness measurement	HP:0033170
Abnormal triceps skinfold thickness	HP:0033171
Increased triceps skinfold thickness	HP:0033172
Acromegalic growth	HP:0033794
Acral hypertrophy	HP:0033794
Acromegaly	HP:0033794
Acral overgrowth	HP:0033794
Acral enlargement	HP:0033794
Growth without growth hormone	HP:0033795
Decreased adipose tissue percentage	HP:0041079
Decreased body fat percentage	HP:0041079
Abnormal BMI	HP:0045081
Abnormal body mass index	HP:0045081
Abnormality of body mass index	HP:0045081
Decreased body mass index	HP:0045082
Decreased BMI	HP:0045082
Overgrowth of one leg	HP:0100553
Hemihypertrophy of lower limb	HP:0100553
Hemihypertrophy of upper limb	HP:0100554
Overgrowth of one arm	HP:0100554
Uneven or disproportionate growth of one body part compared to another	HP:0100555
Asymmetric growth	HP:0100555
Asymmetric limb shortening	HP:0100556
Hemiatrophy	HP:0100556
Hemiatrophy of the body	HP:0100556
Asymmetric lower limb shortening	HP:0100557
Hemiatrophy of lower limb	HP:0100557
Hemihypotrophy of upper limb	HP:0100558
Hemiatrophy of upper limb	HP:0100558
Asymmetric upper limb shortening	HP:0100558
Lower limb asymmetry	HP:0100559
Leg length discrepancy	HP:0100559
Left and right leg differ in length or width	HP:0100559
Unequal size of arms	HP:0100560
Upper limb asymmetry	HP:0100560
