Lower lip pit	HP:0000196
Telangiectasia of the lips	HP:0000214
Lip telangiectasia	HP:0000214
Labial angioectasias	HP:0000214
Lip telangiectases	HP:0000214
Labial telangiectasia	HP:0000214
Angioectasias of the lip	HP:0000214
Spider veins of the lip	HP:0000214
Hyperkeratosis, gingival	HP:0000222
Gingival hyperkeratosis	HP:0000222
Tongue telangiectasia	HP:0000227
Lingual angioectasias	HP:0000227
Spider veins of the tongue	HP:0000227
Lingual telangiectasia	HP:0000227
Angioectasias of the tongue	HP:0000227
Oral cavity telangiectasia	HP:0000228
Angioectasias of the mouth	HP:0000228
Oral cavity teleangiectasia	HP:0000228
Spider veins of the oral cavity	HP:0000228
Spider veins of the mouth	HP:0000228
Angioectasias of the oral cavity	HP:0000228
Low anterior hairline	HP:0000294
Low frontal hairline	HP:0000294
Low-set frontal hairline	HP:0000294
Hairline point	HP:0000349
V-shaped frontal hairline	HP:0000349
Hairline peak	HP:0000349
Widow's peak	HP:0000349
Pointed hairline at front of head	HP:0000349
Pointed frontal hairline	HP:0000349
Skin tag on the posterior cheek	HP:0000384
Preauricular tag	HP:0000384
Periauricular skin tag	HP:0000384
Skin tag in front of the ear	HP:0000384
Preauricular tags	HP:0000384
Ear tag	HP:0000384
Preauricular acrochordon	HP:0000384
Preauricular skin tags	HP:0000384
Preauricular skin tag	HP:0000384
Preauricular fibroepithelial polyp	HP:0000384
Nasal mucosa telangiectasia	HP:0000434
Nasal mucous membrane telangiectasia	HP:0000434
Spider veins of nasal mucous membrane	HP:0000434
Spider veins of mucous membrane of nose	HP:0000434
Telangiectasia of nasal mucous membrane	HP:0000434
Angioectasia of mucosa of nose	HP:0000434
Telangiectasia of mucosa of nose	HP:0000434
Telangiectasia of mucous membrane of nose	HP:0000434
Angioectasia of mucous membrane of nose	HP:0000434
Spider veins of mucosa of nose	HP:0000434
Angioectasia of nasal mucous membrane	HP:0000434
Abnormal eyelash morphology	HP:0000499
Abnormality of the eyelashes	HP:0000499
Abnormal eyelashes	HP:0000499
Eyelash abnormality	HP:0000499
Conjunctival telangiectases	HP:0000524
Small dilated blood vessels near membrane covering front of eye and eyelids	HP:0000524
Conjunctival telangiectasia	HP:0000524
Telangiectasia, conjunctival	HP:0000524
Unusually long eyelashes	HP:0000527
Ciliary trichomegaly	HP:0000527
Increased length of eyelashes	HP:0000527
Long eyelashes	HP:0000527
Eyelash trichomegaly	HP:0000527
Abnormal eyebrow morphology	HP:0000534
Abnormality of the eyebrow	HP:0000534
Absent eyelashes	HP:0000561
Atrichia of eyelashes	HP:0000561
Aplasia of eyelashes	HP:0000561
Failure of development of eyelashes	HP:0000561
Agenesis of eyelashes	HP:0000561
Dense eyebrow	HP:0000574
Prominent eyebrows	HP:0000574
Thick eyebrow	HP:0000574
Bushy eyebrows	HP:0000574
Heavy eyebrows	HP:0000574
Hypertrichosis of the eyebrow	HP:0000574
Hypertrichosis of the eyebrows	HP:0000574
Thick eyebrows	HP:0000574
Abnormality of hairline at front of head	HP:0000599
Abnormality of the frontal hairline	HP:0000599
Wrinkles around the eyes	HP:0000607
Periorbital wrinkling	HP:0000607
Periorbital rhytids	HP:0000607
Excess periorbital skin wrinkling	HP:0000607
Periorbital wrinkles	HP:0000607
Scanty eyelashes	HP:0000653
Hypotrichosis of eyelashes	HP:0000653
Sparse eyelashes	HP:0000653
Scant eyelashes	HP:0000653
Partial absence of eyelashes	HP:0000653
Thin eyelashes	HP:0000653
Synophrys	HP:0000664
Monobrow	HP:0000664
Synophris	HP:0000664
Unibrow	HP:0000664
Skin abnormality	HP:0000951
Dermopathy	HP:0000951
Abnormality of the skin	HP:0000951
Dermatopathy	HP:0000951
Yellow skin	HP:0000952
Yellowing of the skin	HP:0000952
Icterus	HP:0000952
Jaundice	HP:0000952
Hyperpigmented lesion	HP:0000953
Skin hyperpigmentation	HP:0000953
Patchy darkened skin	HP:0000953
Cutaneous hyperpigmentation	HP:0000953
Melanoderma	HP:0000953
Increased skin pigmentation	HP:0000953
Hyperpigmentation of the skin	HP:0000953
Melanodermia	HP:0000953
Single transverse palmar creases	HP:0000954
Single flexion crease	HP:0000954
